specimen_id,species,length_mm,width_mm,shape
30181,Amanita bisporigera,13,11,subglobose
30182,Amanita suballiacea,27,47,ovoid
30183,Amanita oberwinkleriana,27,22,subglobose
30184,Amanita suballiacea,20,24,subglobose
30185,,0,0,no bulb
30186,Amanita sp 44,0,0,no bulb
30187,Amanita suballiacea,32,35,subglobose
30187_2,Amanita suballiacea,18,23,subglobose
30187_3,Amanita suballiacea,40,42,subglobose
30188,,0,0,no bulb
30189,Amanita rhacopus,0,0,no bulb
30190,Amanita frostiana,20,15,subglobose
30191,Amanita frostiana,15,18,subglobose
30192,Amanita muscaria var. guessowii,25,22,subglobose
30193,,0,0,no bulb
30193_2,,0,0,no bulb
30193_3,,0,0,no bulb
30194,,0,0,no bulb
30194_2,,0,0,no bulb
30195,Amanita amerivirosa,20,32,ovoid
30196,Amanita muscaria var. guessowii,35,27,fusiform
30197,Amanita muscaria var. guessowii,30,20,fusiform
30198,,0,0,no bulb
30199,,22,22,globose
30199_2,,na,na,na
30199_3,,na,na,na
30199_4,,na,na,na
30200,Amanita bisporigera,15,13,subglobose
30201,,15,11,fusiform
30202,,23,30,ovoid
30203,,25,30,ovoid
30204,,15,20,ovoid
30204_2,,na,na,na
30204_3,,na,na,na
30204_4,,na,na,na
30205,Amanita flavoconia,15,10,fusiform
30206,Amanita flavoconia,6,9,ovoid
30207,,10,22,ovoid
30208,,20,23,subglobose
30208_2,,na,na,na
30209,Amanita amerivirosa,18,24,subglobose
30210,Amanita muscaria var. guessowii,na,na,na
30211,Amanita muscaria var. guessowii,35,30,subglobose
30212,,21,19,globose
30213,,17,30,ovoid
30214,,10,20,ovoid
30215,,0,0,no bulb
30216,,20,20,globose
30217,,22,23,globose
30218,,13,15,subglobose
30219,,20,27,ovoid
30220,,0,0,no bulb
30221,,20,15,napiform
30222,,16,26,fusiform
30223,,22,15,fusiform
30223_2,,25,18,fusiform
30223_3,,25,18,fusiform
30224,,20,15,fusiform
30224_2,,25,20,fusiform
30225,Amanita populiphila,10,18,napiform
30226,Amanita sp NY06,25,20,napiform
30226_2,Amanita sp NY06,na,na,na
30227,Amanita sp NY06,15,10,napiform
30228,Amanita flavoconia,20,10,ovoid
30229,,15,13,subglobose
30230,Amanita aff. rubescens,20,20,globose
30230_2,Amanita aff. rubescens,30,25,subglobose
30230_3,Amanita aff. rubescens,25,25,globose
30230_4,Amanita aff. rubescens,na,na,na
30230_5,Amanita aff. rubescens,25,25,globose
30230_6,Amanita aff. rubescens,30,30,globose
30230_7,Amanita aff. rubescens,15,15,globose
30230_8,Amanita aff. rubescens,17,20,subglobose
30231,Amanita aff. rubescens,13,22,na
30232,Amanita aff. rubescens,15,18,subglobose
30233,Amanita rhacopus,0,0,no bulb
30234,Amanita rhacopus,0,0,no bulb
30235,,7,9,ovoid
30236,,30,14,na
30237,,na,na,na
30238,,30,14,fusiform
30239,Amanita virginiana,0,0,no bulb
30239_2,Amanita virginiana,0,0,no bulb
30240,,22,15,subglobose
30242,,10,12,subglobose
30243,,0,0,no bulb
30244,,0,0,no bulb
30245,,0,0,no bulb
30246,Amanita brunnescens,30,35,ovoid
30247,,0,0,no bulb
30248,Amanita brunnescens,25,30,ovoid
30249,Amanita sp NY06,na,na,na
30249_2,Amanita sp NY06,10,10,globose
30250,,0,0,no bulb
30250_2,,0,0,no bulb
30251,,0,0,no bulb
30252,Amanita aff. rubescens,na,na,na
30253,Amanita brunnescens,25,35,ovoid
30254,Amanita brunnescens,15,25,ovoid
30255,,0,0,no bulb
30256,Amanita rhacopus,0,0,no bulb
30257,,0,0,no bulb
30257_2,,0,0,no bulb
30258,Amanita brunnescens,20,30,ovoid
30259,Amanita brunnescens,20,20,globose
30260,Amanita solaniolens,15,20,ovoid
30261,,17,15,subglobose
30262,,0,0,no bulb
30263,Amanita brunnescens,20,25,ovoid
30264,Amanita aff. rubescens,20,20,globose
30265,,20,30,ovoid
30267,,25,30,ovoid
30268,,0,0,no bulb
30269,,25,35,ovoid
30270,,25,35,ovoid
30271,,20,25,ovoid
30272,Amanita brunnescens,10,17,ovoid
30273,,15,20,ovoid
30274,,30,30,globose
30274_2,,25,20,subglobose
30275,Amanita bisporigera,15,23,ovoid
30276,,20,25,ovoid
30277,Amanita bisporigera,10,10,globose
30278,,0,0,no bulb
30279,,35,40,globose
30280,Amanita populiphila,0,0,no bulb
30280_2,Amanita populiphila,0,0,no bulb
30280_3,Amanita populiphila,0,0,no bulb
30280_4,Amanita populiphila,0,0,no bulb
30280_5,Amanita populiphila,0,0,no bulb
30280_6,Amanita populiphila,0,0,no bulb
30280_7,Amanita populiphila,0,0,no bulb
30281,Amanita sp 44,0,0,no bulb
30282,Amanita sp 44,0,0,no bulb
30283,,25,20,subglobose
30284,Amanita suballiacea,30,25,subglobose
30285,Amanita sp 44,0,0,no bulb
30286,Amanita porphyria,20,25,subglobose
30287,,25,20,subglobose
30291,,10,15,subglobose
30293,Amanita porphyria,25,20,subglobose
40220,,24,20,subglobose
